"","few hrs","stopped","age","income","device","living area","premium","months"
"52","FALSE",0,24,2,"android","urban",1,12
"53","FALSE",0,21,1.7,"android","urban",1,4
"54","FALSE",0,24,2.8,"android","urban",1,8
"55","FALSE",0,26,2.4,"android","urban",1,2
"56","FALSE",1,33,3,"android","urban",0,5
"57","FALSE",0,34,4.8,"android","urban",1,1
"58","FALSE",0,33,3.18,"android","urban",0,3
"59","TRUE",0,45,1.8,"android","urban",0,0
"60","FALSE",0,21,1.5,"android","urban",1,4
"61","FALSE",2,25,3,"android","urban",0,4
"62","FALSE",0,27,2.28,"android","urban",1,5
"63","FALSE",0,26,2.8,"android","urban",1,16
"64","FALSE",0,22,2.7,"android","urban",1,0
"65","TRUE",3,27,4.9,"ios","urban",1,15
"66","TRUE",0,26,2.5,"android","rest",0,0
"67","FALSE",0,41,6,"android","rest",1,16
"68","FALSE",0,42,3.9,"android","urban",1,2
"69","TRUE",0,22,5.1,"android","urban",1,0
"70","FALSE",0,25,3.074,"android","urban",1,0
"71","FALSE",0,31,2.4585,"ios","urban",1,16
"72","FALSE",0,27,2,"android","urban",1,5
"73","FALSE",0,33,3.248,"android","urban",0,2
"74","FALSE",0,37,2.725,"android","urban",1,14
"75","FALSE",0,27,2.2,"android","urban",1,10
"76","TRUE",1,24,4.1,"android","urban",0,4
"77","FALSE",0,24,3.75,"android","urban",1,11
"78","FALSE",0,25,2.88,"android","urban",1,0
"79","FALSE",0,0,3.05,"android","urban",1,5
"80","FALSE",0,33,2.55,"android","urban",1,18
"81","TRUE",0,33,4,"android","urban",1,0
"82","FALSE",1,55,2.64,"ios","urban",1,19
"83","FALSE",0,20,1.65,"android","urban",1,8
"84","FALSE",0,29,2.4,"android","urban",1,4
"85","TRUE",3,40,3.7099,"android","urban",1,11
"86","FALSE",0,41,7.24,"ios","urban",1,13
"87","TRUE",0,41,4.386,"ios","urban",1,9
"88","TRUE",0,34,3.3,"ios","urban",0,18
"89","TRUE",0,24,2.304,"android","urban",1,0
"90","TRUE",1,54,4.18,"android","urban",1,2
"91","TRUE",2,34,2.4875,"android","urban",1,3
"92","TRUE",0,45,2.8055,"ios","urban",1,0
"93","FALSE",0,43,2.4,"android","urban",1,0
"94","TRUE",4,35,1.5,"android","urban",1,9
"95","TRUE",2,36,8.4,"android","urban",1,12
"96","TRUE",0,22,1.56,"android","urban",1,2
"97","FALSE",1,33,6,"ios","urban",1,6
"98","FALSE",1,25,3.6,"android","urban",1,4
"99","FALSE",0,26,5,"ios","urban",1,16
"100","FALSE",0,46,5.5,"ios","urban",1,7
"101","FALSE",1,35,9.9999,"ios","urban",1,29
"102","TRUE",0,35,4.55,"ios","urban",1,15
"103","TRUE",0,21,2.9,"android","urban",1,3
"104","FALSE",0,25,1.8,"android","urban",0,9
"105","FALSE",0,31,4.2,"ios","urban",1,0
"106","FALSE",0,23,3.92,"android","urban",1,0
"107","FALSE",0,23,3.625,"android","urban",0,6
"108","FALSE",0,25,2.48,"android","urban",1,0
"109","FALSE",0,41,9.9999,"ios","urban",1,17
"110","FALSE",0,44,10.0393,"ios","urban",1,18
"111","FALSE",0,23,2.95,"ios","urban",1,17
"112","FALSE",0,42,5,"android","urban",1,5
"113","FALSE",0,28,2.4,"android","urban",1,29
"114","FALSE",0,46,13.5,"ios","urban",1,9
"115","TRUE",3,26,4,"android","urban",0,5
"116","FALSE",1,37,3.9,"android","urban",1,4
"117","FALSE",1,38,2,"ios","urban",1,3
"118","FALSE",0,30,2.15,"android","urban",1,4
"119","FALSE",0,21,3,"android","urban",0,2
"120","FALSE",0,40,4.3,"android","urban",1,4
"121","TRUE",4,23,9.9999,"android","urban",1,5
"122","FALSE",0,22,2.5,"android","urban",1,3
"123","FALSE",0,22,3,"android","urban",1,11
"124","FALSE",0,41,2.6,"ios","urban",1,3
"125","FALSE",1,19,1.66,"ios","urban",1,2
"126","FALSE",0,34,4.5,"ios","rest",1,6
"127","FALSE",0,25,5,"android","urban",1,16
"128","FALSE",0,20,1.74,"android","urban",1,11
"129","FALSE",0,25,1.875,"android","urban",0,1
"130","FALSE",0,42,3,"ios","urban",0,0
"131","TRUE",5,31,4.2,"android","urban",0,19
"132","TRUE",0,53,4.9,"ios","rest",0,1
"133","FALSE",0,24,2.13,"android","urban",1,4
"134","TRUE",1,25,1.7,"android","urban",0,11
"135","FALSE",0,22,1.68,"android","urban",0,2
"136","TRUE",0,21,2.64,"android","urban",1,1
"137","FALSE",0,18,1.968,"android","urban",0,2
"138","FALSE",0,22,3.3,"android","urban",1,8
"139","FALSE",0,21,1.5896,"android","urban",1,16
"140","FALSE",0,42,3.6,"android","rest",0,14
"141","FALSE",0,36,3,"android","urban",1,6
"142","FALSE",0,42,3.8,"android","urban",1,4
"143","FALSE",0,26,3.36,"android","urban",1,4
"144","TRUE",2,33,2.3204,"android","urban",0,3
"145","FALSE",0,43,7.8,"ios","urban",0,2
"146","FALSE",0,30,2.5,"ios","rest",1,9
"147","FALSE",0,25,1.5,"android","urban",1,7
"148","FALSE",0,36,3.5822,"ios","urban",1,10
"149","FALSE",1,44,4,"ios","urban",1,13
"150","FALSE",3,43,6.72,"ios","urban",1,27
"151","FALSE",2,50,4.3,"ios","rest",1,15
"152","FALSE",0,32,3.5,"ios","urban",1,5
"153","TRUE",1,43,3.95,"ios","urban",1,4
"154","TRUE",5,27,4,"ios","urban",1,7
"155","FALSE",0,25,2.4,"android","urban",0,1
"156","FALSE",0,50,2.7,"ios","urban",0,3
"157","FALSE",0,28,6.6,"android","urban",1,7
"158","FALSE",0,26,2.7,"android","urban",1,0
"159","FALSE",0,29,4.1,"android","urban",1,0
"160","FALSE",0,72,7.701,"ios","urban",1,9
"161","FALSE",0,24,2.8,"android","urban",1,0
"162","FALSE",0,25,3.12,"android","urban",1,6
"163","FALSE",0,25,2.3,"android","urban",1,2
"164","TRUE",0,30,3.67,"ios","urban",1,3
"165","TRUE",0,33,6.5,"ios","urban",1,6
"166","FALSE",0,23,2.56,"android","urban",1,2
"167","FALSE",0,49,3.5,"ios","urban",1,9
"168","FALSE",0,25,3.24,"android","urban",1,19
"169","FALSE",0,25,3.48,"ios","urban",1,5
"170","FALSE",0,25,2.938,"android","urban",1,0
"171","TRUE",1,29,2.475,"android","urban",0,5
"172","TRUE",5,29,3.12,"android","urban",0,7
"173","TRUE",0,32,2.5,"android","urban",1,0
"174","FALSE",0,26,3,"ios","urban",1,4
"175","FALSE",0,34,6,"ios","urban",1,5
"176","FALSE",0,28,2.6,"ios","urban",1,6
"177","FALSE",0,24,3.9,"android","urban",1,7
"178","TRUE",1,31,2.5,"android","urban",1,6
"179","TRUE",1,35,3.3,"android","urban",0,3
"180","FALSE",0,32,5.905,"android","urban",1,2
"181","FALSE",1,36,7.8,"ios","urban",1,18
"182","TRUE",3,32,2.06,"android","urban",1,8
"183","FALSE",0,31,5.6965,"ios","rest",0,26
"184","FALSE",0,28,2.16,"android","urban",1,0
"185","TRUE",3,42,4.6,"android","urban",1,3
"186","FALSE",0,22,3.5,"android","urban",1,9
"187","FALSE",0,30,2.55,"ios","urban",1,0
"188","FALSE",0,44,1.7472,"ios","urban",0,2
"189","FALSE",0,30,1.95,"ios","urban",1,2
"190","FALSE",0,34,5,"ios","urban",1,10
"191","FALSE",0,24,2.8896,"android","urban",0,0
"192","FALSE",0,25,2.7,"ios","urban",1,8
"193","FALSE",0,24,4,"android","urban",1,10
"194","FALSE",0,24,2.3,"android","urban",1,0
"195","TRUE",0,32,2.4,"android","urban",1,8
"196","TRUE",0,46,2.6,"android","urban",1,8
"197","FALSE",0,22,2.4,"ios","urban",1,4
"198","FALSE",0,36,2.52,"android","urban",0,3
"199","FALSE",0,24,1.56,"android","urban",0,1
"200","FALSE",0,49,2.4,"android","rest",1,6
"201","FALSE",0,26,2,"android","urban",1,2
"202","FALSE",1,29,2.58,"android","urban",1,12
"203","FALSE",0,33,3.15,"android","rest",0,3
"204","FALSE",0,29,2.3,"android","urban",0,5
"205","FALSE",0,48,4.65,"android","urban",1,11
"206","FALSE",0,22,3.12,"android","urban",1,3
"207","FALSE",0,30,2,"ios","urban",1,14
"208","TRUE",6,63,2.55,"android","urban",0,13
"209","FALSE",1,22,2.46,"android","urban",1,11
"210","FALSE",0,31,3.8,"android","urban",0,1
"211","FALSE",0,48,2.6372,"ios","urban",1,12
"212","FALSE",1,40,7,"ios","urban",0,22
"213","TRUE",0,53,2.8,"android","urban",0,11
"214","TRUE",0,23,3.1475,"android","urban",0,0
"215","TRUE",1,25,6,"android","urban",1,2
"216","FALSE",0,25,3.25,"android","urban",1,17
"217","FALSE",0,61,4.32,"ios","urban",0,0
"218","FALSE",0,29,2.5,"android","urban",1,21
"219","FALSE",0,35,3,"android","urban",1,8
"220","FALSE",0,26,3.5,"android","urban",1,2
"221","FALSE",0,43,4.56,"android","urban",1,11
"222","FALSE",0,28,2.76,"android","urban",1,1
"223","FALSE",0,22,2.535,"ios","urban",1,9
"224","TRUE",7,41,3.2388,"android","urban",1,16
"225","TRUE",2,35,3.84,"android","urban",0,2
"226","FALSE",0,33,1.32,"android","urban",1,2
"227","TRUE",0,26,3.9,"android","urban",1,3
"228","TRUE",0,57,2.04,"ios","urban",1,11
"229","FALSE",1,30,7.2904,"ios","urban",1,14
"230","FALSE",0,25,7.5,"ios","urban",1,8
"231","FALSE",0,35,3.2604,"android","urban",1,6
"232","FALSE",0,25,1.632,"android","urban",1,5
"233","FALSE",0,41,8,"ios","urban",1,0
"234","FALSE",0,31,2.2,"ios","urban",1,16
"235","FALSE",0,28,5,"ios","urban",1,0
"236","FALSE",0,31,3,"ios","urban",1,8
"237","FALSE",0,46,2,"ios","urban",1,1
"238","FALSE",0,20,1.54,"android","urban",1,2
"239","TRUE",0,28,1.5,"android","urban",0,0
"240","FALSE",0,52,3,"ios","urban",1,0
"241","FALSE",1,42,5,"ios","urban",1,7
"242","FALSE",0,52,4.7232,"ios","urban",0,0
"243","TRUE",0,54,1.5,"ios","urban",0,6
"244","FALSE",0,26,2.3,"android","urban",1,0
"245","FALSE",0,20,1.6,"android","urban",1,0
"246","FALSE",0,28,2.2,"android","urban",0,1
"247","FALSE",0,23,4.32,"android","urban",1,11
"248","TRUE",0,23,2.6,"android","rest",1,7
"249","FALSE",0,20,1.6752,"android","urban",1,0
"250","FALSE",0,84,2.8725,"ios","rest",0,11
"251","FALSE",0,24,2.6,"android","rest",1,2
"252","FALSE",0,34,2.9,"ios","urban",1,20
"253","FALSE",0,25,2.65,"android","urban",1,9
"254","FALSE",0,27,1.9,"android","urban",1,9
"255","FALSE",0,66,2.95,"ios","urban",1,19
"256","FALSE",0,22,3.12,"android","urban",0,6
"257","FALSE",0,35,4.1125,"ios","urban",1,23
"258","TRUE",1,46,6,"ios","urban",1,46
"259","FALSE",0,25,2,"android","urban",1,19
"260","TRUE",2,36,3.38,"ios","urban",1,15
"261","FALSE",0,34,3.5,"android","urban",1,0
"262","FALSE",0,30,2.6,"ios","urban",1,16
"263","TRUE",11,26,3.5,"android","urban",0,27
"264","FALSE",1,25,2.8,"android","urban",1,11
"265","FALSE",0,38,5.9,"ios","urban",1,11
"266","FALSE",0,46,5.4,"ios","urban",1,7
"267","FALSE",0,30,2.8,"android","urban",1,3
"268","FALSE",0,44,3.9,"ios","urban",1,6
"269","FALSE",0,47,3.4,"android","urban",1,4
"270","FALSE",0,22,2.08,"android","urban",1,0
"271","FALSE",0,58,2.5,"ios","urban",1,13
"272","FALSE",1,24,1.95,"android","urban",1,4
"273","FALSE",0,26,2.1,"android","urban",1,6
"274","TRUE",0,31,3,"ios","urban",1,6
"275","FALSE",1,35,3.2,"ios","urban",1,8
"276","TRUE",4,38,2.6,"android","urban",1,14
"277","FALSE",0,40,3.067,"android","urban",0,0
"278","FALSE",0,24,2.8,"android","urban",1,11
"279","FALSE",0,31,4.8,"ios","urban",1,13
"280","TRUE",0,41,4.74,"ios","urban",1,0
"281","FALSE",0,30,2.8,"ios","urban",1,14
"282","FALSE",0,36,4.2,"ios","urban",1,13
"283","FALSE",0,43,4,"android","urban",1,9
"284","TRUE",4,26,1.65,"android","urban",1,5
"285","FALSE",0,34,4.3,"android","urban",1,2
"286","TRUE",0,64,6.4532,"ios","urban",1,13
"287","FALSE",1,22,3,"android","urban",0,7
"288","FALSE",0,21,1.75,"android","urban",0,3
"289","TRUE",0,22,1.8,"android","urban",0,6
"290","FALSE",0,23,2.15,"android","urban",1,1
"291","TRUE",0,24,7.88,"android","rest",1,9
"292","TRUE",2,27,2.6,"android","urban",1,9
"293","FALSE",0,36,2.42,"ios","urban",1,10
"294","FALSE",0,41,2.8,"ios","urban",0,6
"295","FALSE",0,41,3.64,"android","urban",1,1
"296","FALSE",1,54,9.9999,"ios","urban",1,3
"297","TRUE",0,21,1.95,"android","urban",0,1
"298","FALSE",2,35,6.5,"ios","urban",1,13
"299","FALSE",0,32,3.805,"ios","urban",1,7
"300","FALSE",0,41,2.15,"android","urban",0,16
"301","FALSE",2,39,4,"android","urban",1,8
"302","FALSE",0,22,3.1,"android","urban",1,0
"303","TRUE",0,31,4.0104,"android","urban",1,0
"304","FALSE",0,29,4.58,"android","urban",1,7
"305","FALSE",0,34,1.8,"ios","urban",1,2
"306","TRUE",4,38,1.7095,"android","urban",1,2
"307","FALSE",0,22,2.2593,"ios","urban",1,0
"308","FALSE",0,26,3.5,"android","urban",1,0
"309","FALSE",0,40,9.9999,"ios","urban",1,21
"310","TRUE",0,24,1.5678,"ios","urban",1,0
"311","TRUE",0,38,2.9623,"ios","rest",1,13
"312","FALSE",1,28,2.7,"android","urban",1,13
"313","FALSE",0,22,2.16,"ios","urban",1,7
"314","TRUE",0,26,4,"android","urban",0,0
"315","TRUE",5,32,4.5,"ios","urban",1,11
"316","TRUE",0,34,1.8,"ios","urban",1,13
"317","FALSE",0,27,2.75,"android","urban",1,3
"318","FALSE",0,40,2.42,"ios","urban",1,25
"319","TRUE",0,23,2.25,"android","urban",1,0
"320","TRUE",0,24,1.2,"android","urban",0,0
"321","TRUE",2,28,2.6,"ios","urban",1,3
"322","TRUE",0,26,1.5,"android","urban",1,0
"323","FALSE",0,25,2.1,"ios","urban",1,19
"324","FALSE",0,0,3.24,"ios","urban",1,16
"325","TRUE",0,37,2.22,"ios","urban",1,0
"326","TRUE",2,35,4.9,"android","urban",1,3
"327","FALSE",0,42,2.3,"ios","urban",1,12
"328","TRUE",2,28,3.3,"android","urban",1,17
"329","TRUE",3,45,2.5,"ios","urban",1,18
"330","FALSE",0,34,2.205,"ios","urban",1,10
"331","FALSE",1,36,2.4,"ios","urban",1,18
"332","FALSE",0,22,2.7,"android","urban",1,7
"333","FALSE",0,34,3.7,"ios","rest",1,2
"334","TRUE",5,28,2.12,"android","urban",1,10
"335","FALSE",0,34,6.2,"ios","urban",1,11
"336","FALSE",0,40,2.5,"android","urban",1,2
"337","TRUE",1,24,2,"android","urban",0,3
"338","TRUE",0,30,2.4,"android","rest",1,11
"339","FALSE",0,45,4.03,"android","urban",1,2
"340","TRUE",0,32,3,"android","urban",0,0
"341","TRUE",0,25,2.9,"ios","urban",1,8
"342","FALSE",0,28,1.99,"ios","urban",1,5
"343","FALSE",0,57,1.92,"ios","rest",1,9
"344","FALSE",1,34,5,"ios","rest",1,6
"345","TRUE",2,33,2.16,"ios","urban",0,8
"346","FALSE",0,27,2.2,"android","urban",1,3
"347","FALSE",0,20,2.2375,"android","urban",1,1
"348","TRUE",2,40,2.4,"android","urban",1,6
"349","FALSE",0,40,1.9,"ios","urban",1,17
"350","FALSE",0,26,5.5,"ios","urban",1,13
"351","TRUE",0,32,2.16,"android","urban",0,0
"352","FALSE",2,26,7,"android","rest",1,31
"353","TRUE",3,37,2.6,"ios","urban",1,14
"354","TRUE",0,23,2.5,"android","urban",1,0
"355","FALSE",0,28,3.9,"android","urban",1,10
"356","FALSE",0,49,5.2,"ios","urban",1,6
"357","FALSE",1,24,3.25,"android","urban",0,5
"358","TRUE",0,33,3.6,"android","urban",1,2
"359","FALSE",0,33,10,"ios","urban",1,28
"360","FALSE",0,36,3.7,"ios","urban",0,18
"361","FALSE",0,29,4.467,"ios","rest",1,5
"362","TRUE",0,36,5.2,"ios","urban",1,0
"363","FALSE",0,23,4.8,"android","urban",1,4
"364","FALSE",0,61,1.5,"ios","urban",1,24
"365","FALSE",0,54,1.5,"android","urban",0,1
"366","TRUE",0,26,1.8504,"android","urban",1,0
"367","FALSE",0,30,2.45,"android","urban",1,0
"368","FALSE",0,27,1.89,"android","urban",1,12
"369","FALSE",0,39,3.5,"ios","urban",0,13
"370","TRUE",0,24,2.7885,"android","urban",1,0
"371","FALSE",0,47,4.5,"ios","urban",1,13
"372","TRUE",4,25,2.8,"android","urban",1,7
"373","TRUE",3,32,2.8,"ios","urban",0,11
"374","FALSE",0,33,4.5,"android","urban",1,2
"375","FALSE",0,45,3.8,"ios","urban",1,3
"376","TRUE",0,33,5,"android","rest",1,0
"377","FALSE",0,23,2.7,"android","urban",1,0
"378","TRUE",2,25,2.5,"android","rest",1,18
"379","FALSE",0,27,3.2,"ios","urban",1,0
"380","FALSE",0,23,1.92,"ios","urban",1,21
"381","FALSE",0,46,2.308,"android","urban",1,5
"382","TRUE",0,29,1.7,"android","urban",1,0
"383","FALSE",0,49,3,"ios","urban",0,3
"384","FALSE",0,40,2.45,"ios","urban",1,8
"385","TRUE",0,20,3.4,"android","urban",0,0
"386","FALSE",0,33,2.5,"android","urban",1,9
"387","FALSE",0,40,3,"ios","urban",1,9
"388","FALSE",0,27,3.15,"android","urban",1,0
"389","FALSE",0,27,3.5,"android","urban",1,0
"390","FALSE",0,20,1.8,"android","urban",1,0
"391","FALSE",0,24,2.25,"android","urban",1,9
"392","FALSE",0,23,2,"android","urban",1,11
"393","FALSE",0,27,4.1,"ios","urban",1,14
"394","FALSE",0,24,2.97,"android","urban",1,7
"395","FALSE",0,42,5.5,"ios","urban",1,0
"396","FALSE",0,27,3.15,"ios","urban",1,9
"397","FALSE",0,46,3.5,"android","rest",1,1
"398","TRUE",0,21,1.5344,"android","urban",1,11
"399","FALSE",0,32,5.1,"ios","urban",1,10
"400","FALSE",0,23,2.25,"android","urban",1,4
"401","FALSE",0,26,3.41,"ios","urban",1,6
"402","FALSE",0,35,3.7,"ios","urban",1,0
"403","TRUE",0,35,3.4,"android","urban",1,0
"404","FALSE",0,36,4.14,"ios","urban",1,18
"405","TRUE",4,38,4.8,"ios","urban",1,6
"406","FALSE",0,35,7,"ios","urban",1,0
"407","FALSE",0,29,7,"ios","rest",1,5
"408","FALSE",1,29,2.2,"android","urban",1,7
"409","TRUE",0,29,2.06,"ios","urban",0,12
"410","TRUE",0,22,1.536,"android","urban",0,3
"411","TRUE",3,36,4,"ios","urban",1,12
"412","FALSE",0,44,10.5,"ios","urban",1,16
"413","FALSE",0,32,3.05,"android","urban",0,10
"414","FALSE",1,57,3.4838,"ios","urban",1,7
"415","FALSE",0,24,3,"ios","urban",1,6
"416","FALSE",0,35,5.1,"ios","urban",1,0
"417","FALSE",0,53,2.45,"ios","urban",1,11
"418","FALSE",0,31,2,"ios","urban",0,6
"419","FALSE",0,54,4,"ios","urban",1,13
"420","FALSE",0,46,3.48,"ios","rest",1,21
"421","FALSE",0,21,2,"ios","rest",0,3
"422","FALSE",0,27,2.15,"android","urban",1,12
"423","TRUE",0,38,4.475,"android","urban",1,15
"424","FALSE",0,33,1.7,"android","urban",1,17
"425","FALSE",0,28,3,"android","urban",1,11
"426","FALSE",0,27,2.3558,"ios","urban",1,5
"427","FALSE",0,50,4.5,"ios","urban",1,11
"428","FALSE",0,48,3.7,"ios","urban",0,7
"429","FALSE",0,25,5.5,"ios","rest",1,0
"430","FALSE",0,31,3.374,"ios","urban",1,9
"431","FALSE",0,63,5.5,"ios","urban",1,15
"432","TRUE",1,32,6,"ios","urban",1,4
"433","FALSE",0,28,6.9,"ios","urban",1,0
"434","FALSE",0,29,2.75,"ios","urban",1,3
"435","FALSE",0,0,2.5,"android","urban",1,5
"436","FALSE",0,26,2,"android","urban",1,13
"437","FALSE",0,22,2.6875,"android","urban",1,12
"438","FALSE",0,27,2.6796,"android","urban",1,4
"439","FALSE",0,22,1.8,"android","urban",0,2
"440","FALSE",0,25,1.56,"android","urban",1,0
"441","FALSE",0,20,1.5,"android","urban",1,3
"442","TRUE",0,25,1.8804,"android","urban",1,5
"443","TRUE",2,37,2.52,"ios","urban",1,9
"444","FALSE",0,20,2.2348,"android","urban",0,5
"445","TRUE",0,31,1.78,"android","urban",1,0
"446","FALSE",0,29,4.01,"android","urban",1,15
"447","FALSE",0,52,12.4999,"ios","urban",1,21
"448","FALSE",0,32,1.6,"android","urban",1,8
"449","FALSE",0,46,5,"ios","urban",1,7
"450","FALSE",0,25,2.275,"ios","urban",1,6
"451","FALSE",0,55,3.4,"android","urban",1,7
"452","FALSE",0,21,1.75,"ios","urban",1,3
"453","FALSE",0,27,3.25,"ios","urban",1,6
"454","FALSE",0,45,3.9,"android","urban",1,12
"455","TRUE",0,36,1.85,"android","urban",0,0
"456","FALSE",0,41,4,"ios","urban",1,9
"457","FALSE",0,54,4.3,"ios","urban",1,6
"458","FALSE",0,28,3.5,"ios","urban",0,7
"459","FALSE",1,34,8.1,"ios","rest",1,15
"460","FALSE",1,30,4,"ios","urban",1,7
"461","FALSE",1,34,2,"android","urban",1,5
"462","TRUE",0,0,3,"android","urban",0,2
"463","FALSE",0,51,5.3,"android","urban",1,2
"464","TRUE",7,26,2.6,"android","urban",1,11
"465","FALSE",0,28,2.52,"android","urban",1,0
"466","TRUE",0,24,2.2,"android","urban",0,0
"467","FALSE",0,29,2.5,"android","urban",1,14
"468","FALSE",0,34,3.5,"android","urban",1,13
"469","TRUE",1,31,4.35,"android","urban",1,5
"470","TRUE",0,39,1.6,"android","urban",1,1
"471","FALSE",0,32,2,"android","urban",1,4
"472","FALSE",1,43,4.8,"ios","urban",1,4
"473","FALSE",0,30,3,"ios","urban",1,4
"474","FALSE",0,62,1.638,"ios","urban",0,1
"475","TRUE",2,36,2.9,"android","urban",1,21
"476","FALSE",0,22,2.3779,"android","urban",0,5
"477","FALSE",0,38,2.3,"ios","urban",1,3
"478","FALSE",0,40,8.1,"ios","urban",1,13
"479","TRUE",2,40,3.57,"android","rest",1,7
"480","TRUE",0,34,1.944,"android","urban",1,1
"481","FALSE",0,35,2.75,"ios","urban",1,11
"482","TRUE",0,28,3.5,"ios","urban",1,7
"483","FALSE",0,47,7,"ios","urban",1,8
"484","FALSE",0,28,2.8,"android","urban",0,1
"485","FALSE",0,22,1.95,"android","urban",1,0
"486","TRUE",0,46,6.5,"android","urban",1,9
"487","FALSE",0,23,2.5,"android","urban",1,0
"488","FALSE",1,37,3,"android","urban",1,9
"489","FALSE",0,27,1.8,"ios","urban",1,4
"490","FALSE",0,40,2.6,"ios","urban",1,9
"491","FALSE",0,52,3.6,"ios","urban",1,13
"492","FALSE",0,24,2.3,"android","urban",0,0
"493","TRUE",1,22,1.78,"android","urban",1,1
"494","TRUE",0,22,3.86,"ios","rest",1,8
"495","FALSE",0,46,4.9,"ios","urban",1,4
"496","TRUE",0,40,3.6,"android","urban",0,0
"497","FALSE",0,42,3.235,"ios","urban",1,3
"498","TRUE",2,28,1.85,"android","urban",1,12
"499","FALSE",0,26,1.85,"ios","urban",1,9
"500","FALSE",0,25,1.56,"android","urban",1,0
"501","FALSE",0,32,4.075,"ios","urban",1,9
"502","TRUE",5,25,3.3,"ios","urban",1,23
"503","FALSE",0,24,2.51,"android","urban",1,12
"504","FALSE",0,28,4.375,"ios","urban",0,1
"505","FALSE",0,27,2.35,"android","urban",1,2
"506","FALSE",0,21,4,"ios","urban",1,4
"507","TRUE",2,36,5.1,"ios","urban",1,8
"508","FALSE",0,32,3,"ios","urban",1,0
"509","FALSE",0,29,3.5,"ios","urban",1,12
"510","FALSE",0,40,3.5,"ios","urban",1,0
"511","FALSE",0,35,5.5,"ios","urban",1,0
"512","FALSE",0,52,3.8,"ios","urban",1,5
"513","FALSE",0,23,1.79,"android","urban",1,0
"514","FALSE",0,38,5.1,"ios","urban",1,17
"515","FALSE",0,46,8.94,"ios","urban",1,17
"516","FALSE",0,50,7.1,"ios","urban",1,0
"517","FALSE",0,32,2.4,"ios","urban",0,8
"518","FALSE",1,31,3.305,"android","urban",1,12
"519","FALSE",0,39,6.5,"ios","urban",1,18
"520","FALSE",0,40,4.81,"ios","urban",1,9
"521","FALSE",0,40,3,"ios","rest",1,22
"522","FALSE",0,42,2.7,"ios","urban",1,11
"523","FALSE",0,39,5.4,"ios","rest",1,17
"524","FALSE",0,37,8.124,"ios","rest",1,5
"525","FALSE",0,28,3.04,"android","urban",1,0
"526","FALSE",1,30,2.08,"ios","urban",1,11
"527","TRUE",0,29,1.511,"android","urban",1,15
"528","TRUE",1,31,3,"ios","urban",1,2
"529","FALSE",0,30,2.6,"ios","urban",1,4
"530","FALSE",0,37,2.5,"ios","urban",0,4
"531","FALSE",0,45,3.5,"ios","urban",1,13
